GameID,PlayedID,PlayerName,TeamAbbreviation,Agent,ACS,Kills,Deaths,Assists,PlusMinus,KAST_Present,ADR,HS_Present,FirstKills,FirstDeaths,FKFD_PlusMinus,Num_2Ks,Num_3Ks,Num_4Ks,Num_5Ks,OnevOne,OnevTwo,OnevThree,OnevFour,OnevFive,Econ,Plants,Defuses
60717,893,RetrQ,RNG,cypher,228,12,12,4,0,0.67,145,0.25,2,2,0,4,0,0,0,0,0,0,0,0,51,0,0
60717,5190,Lin,RNG,jett,213,12,8,2,4,0.73,135,0.16,3,2,1,1,0,1,0,1,0,0,0,0,63,0,0
60717,5188,Apoth,RNG,viper,186,11,8,5,3,0.87,129,0.36,2,1,1,2,0,0,0,0,0,0,0,0,56,0,0
60717,21749,Money,,kayo,178,7,14,10,-7,0.73,136,0.23,1,1,0,2,0,0,0,0,0,0,0,0,55,1,0
60717,21750,Kenny,Zeni,chamber,174,10,14,0,-4,0.73,116,0.5,2,0,2,1,0,0,0,0,0,0,0,0,49,0,0
60717,12873,Dagr1s,Zeni,jett,160,8,14,1,-6,0.53,103,0.35,1,6,-5,1,1,0,0,0,0,0,0,0,48,0,0
60717,21748,nPanda,Zeni,viper,142,8,13,5,-5,0.6,115,0.33,0,2,-2,2,0,0,0,1,0,0,0,0,48,2,0
60717,10031,BODA,Zeni,sova,130,6,14,1,-8,0.4,83,0.18,1,1,0,1,1,0,0,0,0,0,0,0,36,0,0
60718,2450,Rustun,ex-FB,killjoy,344,18,8,6,10,0.93,241,0.24,3,1,2,3,1,1,0,0,0,0,0,0,100,0,0
60718,865,Nurfed,ex-FB,astra,293,17,4,11,13,0.93,174,0.18,0,1,-1,5,2,0,0,0,0,0,0,0,84,1,0
60718,21668,Verno,ex-FB,kayo,239,14,6,12,8,1,156,0.21,1,0,1,4,1,0,0,0,0,0,0,0,80,1,1
60718,21901,WhoFramedMe,ex-FB,sova,213,15,6,7,9,0.93,122,0.14,1,1,0,5,0,0,0,0,0,0,0,0,67,0,1
60718,8419,Reduxx,ex-FB,jett,180,8,9,5,-1,0.8,132,0.14,4,3,1,1,1,0,0,0,0,0,0,0,56,0,0
60718,3879,Huston,YFP,killjoy,283,13,15,1,-2,0.53,179,0.11,3,1,2,2,0,1,0,0,0,0,0,0,78,0,0
